kegg	eawag	alam	kegg	eawag	alam
C00026	1	1	C05379	0	0
C00026	1	1	C05379	0	0
C00026	1	1	C05379	0	0
C05379	0	0	C00026	1	1
C05379	0	0	C00026	1	1
C05379	0	0	C00026	1	1
C00311	0	1	C05379	0	0
C00311	0	1	C05379	0	0
C00311	0	1	C05379	0	0
C05379	0	0	C00311	0	1
C05379	0	0	C00311	0	1
C05379	0	0	C00311	0	1
C00345	0	1	C01218	0	0
C00345	0	1	C01218	0	0
C01218	0	0	C00345	0	1
C00006	0	1	C00005	0	1
C00345	0	1	C01218	0	0
C00345	0	1	C01218	0	0
C01218	0	0	C00345	0	1
C00198	0	0	C00221	1	0
C00198	0	0	C00221	1	0
C00221	1	0	C00198	0	0
C00221	1	0	C00198	0	0
C00198	0	0	C00221	1	0
C00198	0	0	C00221	1	0
C00221	1	0	C00198	0	0
C00221	1	0	C00198	0	0
C00124	0	1	C03383	0	0
C00124	0	1	C03383	0	0
C05470	0	0	C05481	0	0
C05472	0	0	C05482	0	0
C05478	0	0	C05483	0	0
C05480	0	0	C05484	0	0
C00309	0	1	C00474	0	1
C00474	0	1	C00309	0	1
C00514	0	0	C00905	0	0
C00905	0	0	C00514	0	0
C00558	0	0	C00817	0	0
C00258	0	1	C01146	0	0
C01146	0	0	C00258	0	1
C00258	0	1	C01146	0	0
C01146	0	0	C00258	0	1
C00232	1	1	C00989	1	0
C00989	1	0	C00232	1	1
C00468	0	1	C00951	0	1
C00951	0	1	C00468	0	1
C00468	0	1	C00951	0	1
C00951	0	1	C00468	0	1
C05141	0	1	C05300	0	1
C05300	0	1	C05141	0	1
C05141	0	1	C05300	0	1
C05300	0	1	C05141	0	1
C05284	0	0	C18075	0	0
C05284	0	0	C18075	0	0
C00095	0	1	C00392	0	0
C00392	0	0	C00095	0	1
C00266	0	1	C01380	1	0
C00266	0	1	C01380	1	0
C01380	1	0	C00266	0	1
C01380	1	0	C00266	0	1
C00424	0	0	C00583	0	0
C00583	0	0	C00424	0	0
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00168	0	1	C00258	0	1
C00168	0	1	C00258	0	1
C00258	0	1	C00168	0	1
C00258	0	1	C00168	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00036	0	1	C00149	0	1
C00149	0	1	C00036	0	1
C00149	0	1	C00036	0	1
C06032	0	0	C00109	0	1
C06032	0	0	C00109	0	1
C04236	0	0	C04411	0	0
C04236	0	0	C04411	0	0
C04411	0	0	C04236	0	0
C04411	0	0	C04236	0	0
C00900	0	0	C04039	0	0
C04181	0	0	C04272	0	0
C04181	0	0	C04272	0	0
C04272	0	0	C04181	0	0
C04272	0	0	C04181	0	0
C06007	0	0	C14463	0	0
C06007	0	0	C14463	0	0
C14463	0	0	C06007	0	0
C14463	0	0	C06007	0	0
C06006	0	0	C14463	0	0
C06006	0	0	C14463	0	0
C14463	0	0	C06006	0	0
C14463	0	0	C06006	0	0
C04181	0	0	C06010	0	0
C04181	0	0	C06010	0	0
C06010	0	0	C04181	0	0
C06010	0	0	C04181	0	0
C00356	0	1	C00418	0	1
C00356	0	1	C00418	0	1
C00418	0	1	C00356	0	1
C00418	0	1	C00356	0	1
C00261	1	0	C00556	1	0
C00556	1	0	C00261	1	0
C00556	1	0	C00261	1	0
C00601	1	1	C05853	0	0
C05853	0	0	C00601	1	1
C03765	0	1	C06044	0	0
C06757	1	0	C06758	1	0
C06757	1	0	C06758	1	0
C06758	1	0	C06757	1	0
C07209	0	0	C07216	0	0
C07216	0	0	C07209	0	0
C07216	0	0	C07209	0	0
C07213	0	0	C07214	0	0
C07213	0	0	C07214	0	0
C07214	0	0	C07213	0	0
C00093	0	1	C00111	0	1
C00111	0	1	C00093	0	1
C00093	0	1	C00111	0	1
C00111	0	1	C00093	0	1
C04618	0	0	C05744	0	0
C05744	0	0	C04618	0	0
C04619	0	0	C05753	0	0
C05753	0	0	C04619	0	0
C04620	0	0	C05750	0	0
C05750	0	0	C04620	0	0
C04633	0	0	C05762	0	0
C05762	0	0	C04633	0	0
C04688	0	0	C05759	0	0
C05759	0	0	C04688	0	0
C05746	0	0	C05747	0	0
C05747	0	0	C05746	0	0
C05756	0	0	C05757	0	0
C05757	0	0	C05756	0	0
C00005	0	1	C00006	0	1
C00005	0	1	C16220	0	0
C00080	0	0	C00006	0	1
C00080	0	0	C16220	0	0
C16219	0	0	C00006	0	1
C16219	0	0	C16220	0	0
C16219	0	0	C16220	0	0
C16220	0	0	C16219	0	0
C00188	0	1	C03508	0	0
C03508	0	0	C00188	0	1
C00899	0	0	C02110	0	0
C02110	0	0	C00899	0	0
C16681	0	1	C16682	0	0
C16682	0	0	C16681	0	1
C01115	0	0	C01825	0	0
C01825	0	0	C01115	0	0
C01825	0	0	C01115	0	0
C00204	0	0	C04349	0	0
C04349	0	0	C00204	0	0
C00096	0	1	C00976	0	0
C00096	0	1	C00976	0	0
C00688	0	0	C03319	0	1
C00688	0	0	C03319	0	1
C00688	0	0	C03319	0	1
C03319	0	1	C00688	0	0
C01096	0	0	C05345	0	0
C05345	0	0	C01096	0	0
C04244	0	0	C00272	0	1
C00603	0	0	C00802	0	0
C00603	0	0	C00802	0	0
C00802	0	0	C00603	0	0
C00603	0	0	C00802	0	0
C00603	0	0	C00802	0	0
C00802	0	0	C00603	0	0
C00332	1	1	C01144	1	0
C00332	1	1	C01144	1	0
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C01144	1	0	C00332	1	1
C02232	1	0	C14145	1	0
C14145	1	0	C02232	1	0
C14145	1	0	C02232	1	0
C04631	0	0	C01050	0	0
C04631	0	0	C01050	0	0
C04631	0	0	C01050	0	0
C04631	0	0	C01050	0	0
C00522	0	0	C00966	0	0
C00522	0	0	C00966	0	0
C00966	0	0	C00522	0	0
C00966	0	0	C00522	0	0
C00584	0	1	C00639	0	1
C01268	0	0	C04454	0	0
C00590	0	0	C02666	0	0
C02666	0	0	C00590	0	0
C02666	0	0	C00590	0	0
C02325	0	0	C05610	0	0
C05610	0	0	C02325	0	0
C05610	0	0	C02325	0	0
C12204	0	0	C12205	0	0
C12204	0	0	C12205	0	0
C12205	0	0	C12204	0	0
C10945	0	0	C12206	0	0
C10945	0	0	C12206	0	0
C12206	0	0	C10945	0	0
C02646	0	0	C05608	0	0
C05608	0	0	C02646	0	0
C05608	0	0	C02646	0	0
C00584	0	1	C00639	0	1
C00479	1	0	C05979	0	0
C00969	0	0	C02457	0	0
C00262	0	1	C00385	1	1
C00366	0	1	C00385	1	1
C00385	1	1	C00366	0	1
C00385	1	1	C00366	0	1
C00130	0	1	C00655	0	1
C00130	0	1	C00655	0	1
C00655	0	1	C00130	0	1
C04646	0	0	C16618	0	0
C00067	1	1	C00132	1	1
C00067	1	1	C00132	1	1
C00132	1	1	C00067	1	1
C00132	1	1	C00067	1	1
C06311	0	0	C01097	0	0
C06055	0	0	C07335	0	0
C07335	0	0	C11638	0	0
C11434	0	0	C11437	0	0
C11437	0	0	C11434	0	0
C11437	0	0	C11434	0	0
C00186	1	1	C00022	1	1
C00256	1	1	C00022	1	1
C03289	0	0	C00072	0	1
C01040	0	0	C03289	0	0
C00048	1	1	C00160	1	1
C00160	1	1	C00048	1	1
C00160	1	1	C00048	1	1
C00093	0	1	C00111	0	1
C00111	0	1	C00093	0	1
C00114	0	1	C00576	0	1
C00026	1	1	C02630	0	0
C00093	0	1	C00111	0	1
C00111	0	1	C00093	0	1
C00093	0	1	C00111	0	1
C00111	0	1	C00093	0	1
C05986	0	0	C05985	0	0
C00084	1	1	C00469	1	1
C00084	1	1	C00469	1	1
C00084	1	1	C00469	1	1
C00469	1	1	C00084	1	1
C00469	1	1	C00084	1	1
C00469	1	1	C00084	1	1
C06753	1	0	C06754	1	0
C06753	1	0	C06754	1	0
C06754	1	0	C06753	1	0
C00031	0	1	C00198	0	0
C00031	0	1	C00198	0	0
C00198	0	0	C00031	0	1
C00149	0	1	C00036	0	1
C00036	0	1	C00149	0	1
C00149	0	1	C00036	0	1
C00031	0	1	C00198	0	0
C00031	0	1	C00198	0	0
C00198	0	0	C00031	0	1
C00011	1	1	C00058	1	1
C00011	1	1	C00058	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00080	0	0
C00011	1	1	C00058	1	1
C00011	1	1	C00058	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00080	0	0
C00011	1	1	C00058	1	1
C00011	1	1	C00058	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00011	1	1
C00058	1	1	C00080	0	0
C00026	1	1	C00433	0	0
C00433	0	0	C00026	1	1
C00433	0	0	C00026	1	1
C00162	0	0	C00071	0	0
C00033	1	1	C00084	1	1
C00033	1	1	C00084	1	1
C00033	1	1	C00084	1	1
C00033	1	1	C00084	1	1
C00084	1	1	C00033	1	1
C00084	1	1	C00033	1	1
C00084	1	1	C00033	1	1
C00084	1	1	C00033	1	1
C05665	0	0	C00099	0	1
C00258	0	1	C00577	0	1
C00577	0	1	C00258	0	1
C00555	0	0	C00334	0	1
C00555	0	0	C00334	0	1
C00555	0	0	C00334	0	1
C00637	0	1	C00954	0	1
C05985	0	0	C00804	0	0
C00818	0	0	C02670	0	0
C02670	0	0	C00818	0	0
C01149	0	0	C01181	0	1
C06002	1	0	C02170	0	1
C05130	0	0	C02835	0	0
C05634	0	0	C05635	0	1
C05936	0	0	C02946	0	0
C06613	0	0	C06614	1	0
C06613	0	0	C06614	1	0
C06614	1	0	C06613	0	0
C06615	1	0	C16348	0	0
C16348	0	0	C06615	1	0
C16348	0	0	C06615	1	0
C06754	1	0	C06755	1	0
C06754	1	0	C06755	1	0
C06755	1	0	C06754	1	0
C02576	0	0	C11924	0	0
C02576	0	0	C11924	0	0
C11924	0	0	C02576	0	0
C05665	0	0	C00099	0	1
C00033	1	1	C00084	1	1
C00033	1	1	C00084	1	1
C00033	1	1	C00084	1	1
C00084	1	1	C00033	1	1
C00084	1	1	C00033	1	1
C00084	1	1	C00033	1	1
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C07086	1	1	C00601	1	1
C07086	1	1	C00601	1	1
C00601	1	1	C07086	1	1
C00601	1	1	C07086	1	1
C07086	1	1	C00601	1	1
C07086	1	1	C00601	1	1
C00642	1	1	C03765	0	1
C03765	0	1	C00642	1	1
C03765	0	1	C00642	1	1
C00642	1	1	C03765	0	1
C03765	0	1	C00642	1	1
C01161	1	1	C04043	0	1
C04043	0	1	C01161	1	1
C01161	1	1	C04043	0	1
C04043	0	1	C01161	1	1
C05577	0	0	C05580	0	1
C05580	0	1	C05577	0	0
C05577	0	0	C05580	0	1
C05580	0	1	C05577	0	0
C05581	0	0	C05582	0	1
C05581	0	0	C05582	0	1
C05583	0	0	C05584	0	1
C05583	0	0	C05584	0	1
C05827	0	0	C05828	0	0
C06899	1	0	C11150	1	0
C07645	0	0	C07646	0	0
C07645	0	0	C07646	0	0
C16587	0	0	C16591	0	0
C00576	0	1	C00719	0	1
C00576	0	1	C00719	0	1
C00118	0	1	C00197	0	1
C00118	0	1	C00197	0	1
C00197	0	1	C00118	0	1
C00024	1	1	C00084	1	1
C00024	1	1	C00084	1	1
C00024	1	1	C00084	1	1
C00024	1	1	C00084	1	1
C00084	1	1	C00024	1	1
C00084	1	1	C00024	1	1
C00084	1	1	C00024	1	1
C00084	1	1	C00024	1	1
C00084	1	1	C00024	1	1
C01412	0	0	C00136	1	1
C00441	0	0	C03082	0	0
C00441	0	0	C03082	0	0
C03082	0	0	C00441	0	0
C03082	0	0	C00441	0	0
C03082	0	0	C00441	0	0
C03082	0	0	C00441	0	0
C03082	0	0	C00441	0	0
C00118	0	1	C00236	0	1
C00118	0	1	C00236	0	1
C00118	0	1	C00236	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00236	0	1	C00118	0	1
C00555	0	0	C00334	0	1
C00555	0	0	C00334	0	1
C00042	1	1	C00232	1	1
C00042	1	1	C00232	1	1
C00232	1	1	C00042	1	1
C00232	1	1	C00042	1	1
C00232	1	1	C00042	1	1
C00232	1	1	C00042	1	1
C00156	1	1	C00633	1	0
C00633	1	0	C00156	1	1
C00633	1	0	C00156	1	1
C00633	1	0	C00156	1	1
C00180	1	1	C00261	1	0
C00261	1	0	C00180	1	1
C00261	1	0	C00180	1	1
C00261	1	0	C00180	1	1
C00587	1	0	C03067	1	0
C03067	1	0	C00587	1	0
C03067	1	0	C00587	1	0
C01454	1	0	C06758	1	0
C06758	1	0	C01454	1	0
C06758	1	0	C01454	1	0
C07214	0	0	C07215	0	0
C07214	0	0	C07215	0	0
C07215	0	0	C07214	0	0
C07209	0	0	C07211	1	0
C07209	0	0	C07211	1	0
C07211	1	0	C07209	0	0
C00956	0	1	C05560	0	0
C05535	0	0	C04076	0	0
C05560	0	0	C05535	0	0
C01250	0	0	C04133	0	0
